"Date","LA Name","DAQI"
2012-01-09,"South Ayrshire",1
2012-01-09,"South Lanarkshire",2
2012-01-09,"Stirling",1
2012-01-09,"West Dunbartonshire",2
2012-01-09,"West Lothian",2
2012-01-10,"Aberdeen City",2
2012-01-10,"Angus",1
2012-01-10,"Clackmannanshire",1
2012-01-10,"Dumfries and Galloway",2
2012-01-10,"Dundee City",3
2012-01-10,"East Dunbartonshire",1
2012-01-10,"East Lothian",1
2012-01-10,"East Renfrewshire",2
2012-01-10,"Edinburgh, City of",2
2012-01-10,"Falkirk",1
2012-01-10,"Fife",1
2012-01-10,"Glasgow City",2
2012-01-10,"Highland",3
2012-01-10,"Inverclyde",1
2012-01-10,"Midlothian",2
2012-01-10,"North Ayrshire",1
2012-01-10,"North Lanarkshire",2
2012-01-10,"Perth and Kinross",2
2012-01-10,"Renfrewshire",2
2012-01-10,"Scottish Borders",2
2012-01-10,"Shetland Islands",3
2012-01-10,"South Ayrshire",1
2012-01-10,"South Lanarkshire",2
2012-01-10,"Stirling",1
2012-01-10,"West Dunbartonshire",1
2012-01-10,"West Lothian",1
2012-01-11,"Aberdeen City",3
2012-01-11,"Angus",1
2012-01-11,"Clackmannanshire",1
2012-01-11,"Dumfries and Galloway",2
2012-01-11,"Dundee City",3
2012-01-11,"East Dunbartonshire",2
2012-01-11,"East Lothian",1
2012-01-11,"East Renfrewshire",3
2012-01-11,"Edinburgh, City of",2
2012-01-11,"Falkirk",2
2012-01-11,"Fife",2
2012-01-11,"Glasgow City",2
2012-01-11,"Highland",3
2012-01-11,"Inverclyde",1
2012-01-11,"Midlothian",3
2012-01-11,"North Ayrshire",2
2012-01-11,"North Lanarkshire",2
2012-01-11,"Perth and Kinross",3
2012-01-11,"Renfrewshire",3
2012-01-11,"Scottish Borders",2
2012-01-11,"Shetland Islands",3
2012-01-11,"South Ayrshire",1
2012-01-11,"South Lanarkshire",2
2012-01-11,"Stirling",2
2012-01-11,"West Dunbartonshire",1
2012-01-11,"West Lothian",1
2012-01-12,"Aberdeen City",2
2012-01-12,"Angus",1
2012-01-12,"Clackmannanshire",1
2012-01-12,"Dumfries and Galloway",2
2012-01-12,"Dundee City",3
2012-01-12,"East Dunbartonshire",2
2012-01-12,"East Lothian",1
2012-01-12,"East Renfrewshire",3
2012-01-12,"Edinburgh, City of",3
2012-01-12,"Falkirk",2
2012-01-12,"Fife",2
2012-01-12,"Glasgow City",2
2012-01-12,"Highland",3
2012-01-12,"Inverclyde",1
2012-01-12,"Midlothian",3
2012-01-12,"North Ayrshire",2
2012-01-12,"North Lanarkshire",2
2012-01-12,"Perth and Kinross",3
2012-01-12,"Renfrewshire",2
2012-01-12,"Scottish Borders",2
2012-01-12,"Shetland Islands",3
2012-01-12,"South Ayrshire",2
2012-01-12,"South Lanarkshire",2
2012-01-12,"Stirling",1
2012-01-12,"West Dunbartonshire",1
2012-01-12,"West Lothian",2
2012-01-13,"Aberdeen City",3
2012-01-13,"Angus",2
2012-01-13,"Clackmannanshire",2
2012-01-13,"Dumfries and Galloway",2
2012-01-13,"Dundee City",4
2012-01-13,"East Dunbartonshire",4
2012-01-13,"East Lothian",2
2012-01-13,"East Renfrewshire",2
2012-01-13,"Edinburgh, City of",4
2012-01-13,"Falkirk",3
2012-01-13,"Fife",3
2012-01-13,"Glasgow City",4
2012-01-13,"Highland",3
2012-01-13,"Inverclyde",1
2012-01-13,"Midlothian",2
2012-01-13,"North Ayrshire",2
2012-01-13,"North Lanarkshire",3
2012-01-13,"Perth and Kinross",4
2012-01-13,"Renfrewshire",3
2012-01-13,"Scottish Borders",2
2012-01-13,"Shetland Islands",2
2012-01-13,"South Ayrshire",1
2012-01-13,"South Lanarkshire",5
2012-01-13,"Stirling",2
2012-01-13,"West Dunbartonshire",3
2012-01-13,"West Lothian",3
2012-01-14,"Aberdeen City",2
2012-01-14,"Angus",2
2012-01-14,"Clackmannanshire",2
2012-01-14,"Dumfries and Galloway",2
2012-01-14,"Dundee City",2
2012-01-14,"East Dunbartonshire",3
2012-01-14,"East Lothian",1
2012-01-14,"East Renfrewshire",2
2012-01-14,"Edinburgh, City of",3
2012-01-14,"Falkirk",2
2012-01-14,"Fife",3
2012-01-14,"Glasgow City",3
2012-01-14,"Highland",2
2012-01-14,"Inverclyde",2
2012-01-14,"Midlothian",2
2012-01-14,"North Ayrshire",2
2012-01-14,"North Lanarkshire",2
2012-01-14,"Perth and Kinross",3
2012-01-14,"Renfrewshire",2
2012-01-14,"Scottish Borders",1
2012-01-14,"Shetland Islands",2
2012-01-14,"South Ayrshire",2
2012-01-14,"South Lanarkshire",2
2012-01-14,"Stirling",2
2012-01-14,"West Dunbartonshire",2
2012-01-14,"West Lothian",2
2012-01-15,"Aberdeen City",2
2012-01-15,"Angus",2
2012-01-15,"Clackmannanshire",3
2012-01-15,"Dumfries and Galloway",2
2012-01-15,"Dundee City",3
2012-01-15,"East Dunbartonshire",2
2012-01-15,"East Lothian",2
2012-01-15,"East Renfrewshire",2
2012-01-15,"Edinburgh, City of",3
2012-01-15,"Falkirk",3
2012-01-15,"Fife",3
2012-01-15,"Glasgow City",3
2012-01-15,"Highland",2
2012-01-15,"Inverclyde",2
2012-01-15,"Midlothian",2
2012-01-15,"North Ayrshire",2
2012-01-15,"North Lanarkshire",2
2012-01-15,"Perth and Kinross",2
2012-01-15,"Renfrewshire",2
2012-01-15,"Scottish Borders",1
2012-01-15,"Shetland Islands",2
2012-01-15,"South Ayrshire",2
2012-01-15,"South Lanarkshire",3
2012-01-15,"Stirling",2
2012-01-15,"West Dunbartonshire",2
2012-01-15,"West Lothian",2
2012-01-16,"Aberdeen City",2
2012-01-16,"Clackmannanshire",3
2012-01-16,"Dumfries and Galloway",2
2012-01-16,"Dundee City",4
2012-01-16,"East Dunbartonshire",3
2012-01-16,"East Lothian",2
2012-01-16,"East Renfrewshire",2
2012-01-16,"Edinburgh, City of",4
2012-01-16,"Falkirk",4
2012-01-16,"Fife",4
2012-01-16,"Glasgow City",4
2012-01-16,"Highland",2
2012-01-16,"Inverclyde",2
2012-01-16,"Midlothian",2
2012-01-16,"North Ayrshire",2
2012-01-16,"North Lanarkshire",3
2012-01-16,"Perth and Kinross",4
2012-01-16,"Renfrewshire",3
2012-01-16,"Scottish Borders",1
2012-01-16,"Shetland Islands",2
2012-01-16,"South Ayrshire",2
2012-01-16,"South Lanarkshire",4
2012-01-16,"Stirling",3
2012-01-16,"West Dunbartonshire",2
2012-01-16,"West Lothian",3
2012-01-17,"Aberdeen City",3
2012-01-17,"Angus",3
2012-01-17,"Clackmannanshire",2
2012-01-17,"Dumfries and Galloway",2
2012-01-17,"Dundee City",4
2012-01-17,"East Dunbartonshire",3
2012-01-17,"East Lothian",1
2012-01-17,"East Renfrewshire",2
2012-01-17,"Edinburgh, City of",3
2012-01-17,"Falkirk",2
2012-01-17,"Fife",3
2012-01-17,"Glasgow City",3
2012-01-17,"Highland",2
2012-01-17,"Inverclyde",2
2012-01-17,"Midlothian",2
2012-01-17,"North Ayrshire",2
2012-01-17,"North Lanarkshire",2
2012-01-17,"Perth and Kinross",3
2012-01-17,"Renfrewshire",3
2012-01-17,"Scottish Borders",2
2012-01-17,"Shetland Islands",2
2012-01-17,"South Ayrshire",2
2012-01-17,"South Lanarkshire",3
2012-01-17,"Stirling",2
2012-01-17,"West Dunbartonshire",2
2012-01-17,"West Lothian",2
2012-01-18,"Aberdeen City",3
2012-01-18,"Angus",1
2012-01-18,"Clackmannanshire",1
2012-01-18,"Dumfries and Galloway",3
2012-01-18,"Dundee City",3
2012-01-18,"East Dunbartonshire",2
2012-01-18,"East Lothian",1
2012-01-18,"East Renfrewshire",3
2012-01-18,"Edinburgh, City of",3
