"NAME","Year","Value"
"East Ayrshire","2016",14.9
"East Dunbartonshire","2016",4.8
"East Lothian","2016",7.4
"East Renfrewshire","2016",4.6
"Falkirk","2016",10.1
"Fife","2016",8.6
"Glasgow City","2016",16.7
"Highland","2016",8.6
"Inverclyde","2016",14.2
"Midlothian","2016",6.4
"Moray","2016",10
"Na h-Eileanan Siar","2016",8.2
"North Ayrshire","2016",13.6
"North Lanarkshire","2016",14.3
"Orkney Islands","2016",1.6
"Perth and Kinross","2016",6.9
"Renfrewshire","2016",8.3
"Scottish Borders","2016",9.6
"Shetland Islands","2016",2.5
"South Ayrshire","2016",9.8
"South Lanarkshire","2016",9.8
"Stirling","2016",7.1
"West Dunbartonshire","2016",12
"West Lothian","2016",9
"Scotland","2017",8.7
"Aberdeen City","2017",6.8
"Aberdeenshire","2017",7.5
"Angus","2017",7.9
"Argyll and Bute","2017",7.4
"City of Edinburgh","2017",3.2
"Clackmannanshire","2017",8
"Dumfries and Galloway","2017",8.6
"Dundee City","2017",12.6
"East Ayrshire","2017",12.6
"East Dunbartonshire","2017",4.7
"East Lothian","2017",6.3
"East Renfrewshire","2017",5.3
"Falkirk","2017",9.9
"Fife","2017",7.3
"Glasgow City","2017",12.3
"Highland","2017",6.3
"Inverclyde","2017",12.3
"Midlothian","2017",7.2
"Moray","2017",10.2
"Na h-Eileanan Siar","2017",6.7
"North Ayrshire","2017",11.1
"North Lanarkshire","2017",13.6
"Orkney Islands","2017",6.5
"Perth and Kinross","2017",4.6
"Renfrewshire","2017",8.7
"Scottish Borders","2017",7.9
"Shetland Islands","2017",2
"South Ayrshire","2017",11.2
"South Lanarkshire","2017",10.9
"Stirling","2017",6.2
"West Dunbartonshire","2017",11.5
"West Lothian","2017",8.8
"Scotland","2018",9.7
"Aberdeen City","2018",7.1
"Aberdeenshire","2018",7.4
"Angus","2018",10.6
"Argyll and Bute","2018",8.8
"City of Edinburgh","2018",5.9
"Clackmannanshire","2018",11.7
"Dumfries and Galloway","2018",7.9
"Dundee City","2018",10.5
"East Ayrshire","2018",12
"East Dunbartonshire","2018",4.5
"East Lothian","2018",6.2
"East Renfrewshire","2018",5.5
"Falkirk","2018",10
"Fife","2018",8.2
"Glasgow City","2018",14.4
"Highland","2018",6.5
"Inverclyde","2018",13.2
"Midlothian","2018",9.6
"Moray","2018",8.2
"Na h-Eileanan Siar","2018",5.1
"North Ayrshire","2018",10.4
