NAME,Year,Businesses
Stirling,2018,537
Stirling,2019,542
Stirling,2020,546
West Dunbartonshire,2010,240
West Dunbartonshire,2011,239
West Dunbartonshire,2012,249
West Dunbartonshire,2013,249
West Dunbartonshire,2014,259
West Dunbartonshire,2015,264
West Dunbartonshire,2016,275
West Dunbartonshire,2017,281
West Dunbartonshire,2018,279
West Dunbartonshire,2019,279
West Dunbartonshire,2020,298
West Lothian,2010,319
West Lothian,2011,312
West Lothian,2012,318
West Lothian,2013,319
West Lothian,2014,334
West Lothian,2015,339
West Lothian,2016,350
West Lothian,2017,353
West Lothian,2018,356
West Lothian,2019,362
West Lothian,2020,359
