NAME,Year,Businesses
Orkney Islands,2001,1740
Orkney Islands,2002,1735
Orkney Islands,2003,1655
Orkney Islands,2004,1660
Orkney Islands,2005,1635
Orkney Islands,2006,1635
Orkney Islands,2007,1630
Orkney Islands,2008,1625
Orkney Islands,2009,1590
Orkney Islands,2010,1600
Orkney Islands,2011,1575
Orkney Islands,2012,1595
Orkney Islands,2013,1570
Orkney Islands,2014,1630
Orkney Islands,2015,1630
Orkney Islands,2016,1605
Orkney Islands,2017,1600
Perth and Kinross,2000,6840
Perth and Kinross,2001,6830
Perth and Kinross,2002,6800
Perth and Kinross,2003,6755
Perth and Kinross,2004,6800
Perth and Kinross,2005,6710
Perth and Kinross,2006,6710
Perth and Kinross,2007,6765
Perth and Kinross,2008,6800
Perth and Kinross,2009,6770
Perth and Kinross,2010,6745
Perth and Kinross,2011,6620
Perth and Kinross,2012,6740
Perth and Kinross,2013,6700
Perth and Kinross,2014,6875
Perth and Kinross,2015,6945
Perth and Kinross,2016,6960
Perth and Kinross,2017,7060
Renfrewshire,2000,4720
Renfrewshire,2001,4710
Renfrewshire,2002,4790
Renfrewshire,2003,4780
Renfrewshire,2004,4800
Renfrewshire,2005,4760
Renfrewshire,2006,4800
Renfrewshire,2007,4875
Renfrewshire,2008,4985
Renfrewshire,2009,5005
Renfrewshire,2010,5070
Renfrewshire,2011,4990
Renfrewshire,2012,5080
Renfrewshire,2013,5050
Renfrewshire,2014,5240
Renfrewshire,2015,5335
Renfrewshire,2016,5490
Renfrewshire,2017,5605
Scotland,2000,180925
Scotland,2001,181370
Scotland,2002,180840
Scotland,2003,179375
Scotland,2004,181095
Scotland,2005,178855
Scotland,2006,180310
Scotland,2007,183905
Scotland,2008,186210
Scotland,2009,186295
Scotland,2010,186650
Scotland,2011,185350
Scotland,2012,190510
Scotland,2013,190915
Scotland,2014,197930
Scotland,2015,201760
Scotland,2016,205180
Scotland,2017,208265
Scottish Borders,2000,5840
Scottish Borders,2001,5715
Scottish Borders,2002,5765
Scottish Borders,2003,5725
Scottish Borders,2004,5730
Scottish Borders,2005,5565
Scottish Borders,2006,5550
Scottish Borders,2007,5705
Scottish Borders,2008,5725
Scottish Borders,2009,5725
Scottish Borders,2010,5660
Scottish Borders,2011,5550
Scottish Borders,2012,5640
Scottish Borders,2013,5560
Scottish Borders,2014,5705
Scottish Borders,2015,5705
Scottish Borders,2016,5705
Scottish Borders,2017,5705
Shetland Islands,2000,1635
Shetland Islands,2001,1630
Shetland Islands,2002,1610
Shetland Islands,2003,1545
Shetland Islands,2004,1545
Shetland Islands,2005,1545
Shetland Islands,2006,1500
Shetland Islands,2007,1490
Shetland Islands,2008,1460
Shetland Islands,2009,1425
Shetland Islands,2010,1440
Shetland Islands,2011,1455
Shetland Islands,2012,1495
Shetland Islands,2013,1525
Shetland Islands,2014,1560
Shetland Islands,2015,1600
Shetland Islands,2016,1645
Shetland Islands,2017,1680
South Ayrshire,2000,4155
South Ayrshire,2001,4095
South Ayrshire,2002,4090
South Ayrshire,2003,4085
South Ayrshire,2004,4165
South Ayrshire,2005,4085
South Ayrshire,2006,4050
South Ayrshire,2007,4125
South Ayrshire,2008,4110
South Ayrshire,2009,4090
South Ayrshire,2010,4050
South Ayrshire,2011,4000
South Ayrshire,2012,4055
South Ayrshire,2013,4000
South Ayrshire,2014,4075
South Ayrshire,2015,4125
South Ayrshire,2016,4210
South Ayrshire,2017,4280
South Lanarkshire,2000,8550
South Lanarkshire,2001,8575
South Lanarkshire,2002,8720
South Lanarkshire,2003,8615
South Lanarkshire,2004,8725
South Lanarkshire,2005,8590
South Lanarkshire,2006,8755
South Lanarkshire,2007,8995
South Lanarkshire,2008,9195
South Lanarkshire,2009,9200
South Lanarkshire,2010,9245
South Lanarkshire,2011,9115
South Lanarkshire,2012,9360
South Lanarkshire,2013,9405
South Lanarkshire,2014,9795
South Lanarkshire,2015,10010
South Lanarkshire,2016,10220
South Lanarkshire,2017,10430
Stirling,2000,3945
Stirling,2001,3980
Stirling,2002,4030
Stirling,2003,4075
Stirling,2004,4100
Stirling,2005,4045
Stirling,2006,4105
Stirling,2007,4205
Stirling,2008,4250
Stirling,2009,4250
Stirling,2010,4225
Stirling,2011,4230
Stirling,2012,4330
Stirling,2013,4280
Stirling,2014,4400
Stirling,2015,4485
Stirling,2016,4545
Stirling,2017,4515
West Dunbartonshire,2000,2035
West Dunbartonshire,2001,2010
West Dunbartonshire,2002,1970
West Dunbartonshire,2003,1955
West Dunbartonshire,2004,1965
West Dunbartonshire,2005,1940
West Dunbartonshire,2006,1935
West Dunbartonshire,2007,1940
West Dunbartonshire,2008,1990
West Dunbartonshire,2009,1990
West Dunbartonshire,2010,2005
West Dunbartonshire,2011,1990
West Dunbartonshire,2012,2050
West Dunbartonshire,2013,2045
West Dunbartonshire,2014,2135
West Dunbartonshire,2015,2160
West Dunbartonshire,2016,2250
West Dunbartonshire,2017,2295
West Lothian,2000,4335
West Lothian,2001,4410
West Lothian,2002,4410
West Lothian,2003,4420
West Lothian,2004,4520
West Lothian,2005,4470
West Lothian,2006,4595
West Lothian,2007,4720
West Lothian,2008,4890
West Lothian,2009,4865
West Lothian,2010,4885
West Lothian,2011,4835
West Lothian,2012,4950
West Lothian,2013,5005
West Lothian,2014,5250
West Lothian,2015,5360
West Lothian,2016,5520
West Lothian,2017,5625
