"Name","Year","Value"
"Perth and Kinross",2018,20.3
"East Dunbartonshire",2018,26.4
"East Dunbartonshire",2018,26.4
"Aberdeenshire",2018,22
"Stirling",2018,22
"West Lothian",2018,17.7
"East Renfrewshire",2018,29.9
"East Renfrewshire",2018,29.9
"South Ayrshire",2018,23
"Scottish Borders",2018,25.6
"Falkirk",2018,19
"Inverclyde",2018,26
"Inverclyde",2018,26
"Aberdeen City",2018,14.3
"West Dunbartonshire",2018,18.7
"West Dunbartonshire",2018,18.7
"Midlothian",2018,16
"North Ayrshire",2018,24.4
"East Lothian",2018,20.6
"East Ayrshire",2018,25.5
"Highland",2018,20.7
"Moray",2018,27.4
"Argyll and Bute",2018,24.5
"South Lanarkshire",2018,20.5
"South Lanarkshire",2018,20.5
"North Lanarkshire",2018,20.4
"Angus",2017,31.2
"Angus",2017,31.2
"Midlothian",2017,13.8
"West Lothian",2017,16
"Stirling",2017,16.9
"North Ayrshire",2017,21.4
"Aberdeen City",2017,16.4
"Falkirk",2017,20.4
"East Lothian",2017,19.3
"Moray",2017,24.7
"East Ayrshire",2017,23.1
"Argyll and Bute",2017,24.2
"Dumfries and Galloway",2017,28.8
"North Lanarkshire",2017,19.8
"Renfrewshire",2017,17.7
"Renfrewshire",2017,17.7
"Aberdeenshire",2017,23.3
"City of Edinburgh",2017,14
"Glasgow City",2017,14.8
"East Renfrewshire",2017,30.1
"East Renfrewshire",2017,30.1
"Fife",2017,23
"Perth and Kinross",2017,22
"South Ayrshire",2017,23.9
"Scottish Borders",2017,23.6
"Highland",2017,19.5
"Inverclyde",2017,23.8
"Inverclyde",2017,23.8
"East Dunbartonshire",2017,18.6
"East Dunbartonshire",2017,18.6
"West Dunbartonshire",2017,17.2
"West Dunbartonshire",2017,17.2
NA,2017,18.4
"Dundee City",2017,15.2
"Dundee City",2017,15.2
"Clackmannanshire",2017,21.3
"South Lanarkshire",2017,18.3
"South Lanarkshire",2017,18.3
"Scottish Borders",2016,24.5
"Glasgow City",2016,17.8
"North Ayrshire",2016,27.1
"North Lanarkshire",2016,20
"City of Edinburgh",2016,15.6
"Renfrewshire",2016,22.4
"Renfrewshire",2016,22.4
"East Dunbartonshire",2016,28.6
"East Dunbartonshire",2016,28.6
"Aberdeenshire",2016,22.2
"Fife",2016,21.8
"Aberdeen City",2016,18
"Dundee City",2016,20.5
"Dundee City",2016,20.5
"Angus",2016,25.3
"Angus",2016,25.3
"South Lanarkshire",2016,18.7
"South Lanarkshire",2016,18.7
"South Ayrshire",2016,28.6
"Perth and Kinross",2016,24.1
"Stirling",2016,22.4
"Argyll and Bute",2016,23.3
"Clackmannanshire",2016,24.8
NA,2016,20.1
"Falkirk",2016,19
"Inverclyde",2016,22.4
"Inverclyde",2016,22.4
"West Dunbartonshire",2016,16.5
"West Dunbartonshire",2016,16.5
"Highland",2016,19.5
"West Lothian",2016,18
"East Ayrshire",2016,26.1
"East Lothian",2016,22.8
"East Renfrewshire",2016,29
"East Renfrewshire",2016,29
"Dumfries and Galloway",2016,30.7
"Moray",2016,23.7
"Midlothian",2016,17.2
"East Ayrshire",2015,26.9
"Aberdeenshire",2015,22.6
"East Lothian",2015,23.2
"East Renfrewshire",2015,30.4
"East Renfrewshire",2015,30.4
"Argyll and Bute",2015,18.2
"Scottish Borders",2015,26.5
"Inverclyde",2015,24.1
"Inverclyde",2015,24.1
"Moray",2015,22.8
"Midlothian",2015,23.3
"North Ayrshire",2015,25.9
"Aberdeen City",2015,15.5
"Stirling",2015,20.1
"Falkirk",2015,21.6
"South Lanarkshire",2015,17.9
"South Lanarkshire",2015,17.9
"South Ayrshire",2015,23.7
"Highland",2015,22.6
"Fife",2015,23.4
"Perth and Kinross",2015,20.7
NA,2015,19.6
"Clackmannanshire",2015,24.6
"Dumfries and Galloway",2015,30.1
"Dundee City",2015,16.9
"Dundee City",2015,16.9
"East Dunbartonshire",2015,23.7
"East Dunbartonshire",2015,23.7
"West Dunbartonshire",2015,25
"West Dunbartonshire",2015,25
"North Lanarkshire",2015,19.4
"Glasgow City",2015,16.9
"West Lothian",2015,19.9
"Angus",2015,30.6
"Angus",2015,30.6
"City of Edinburgh",2015,14.1
"Renfrewshire",2015,20.1
"Renfrewshire",2015,20.1
"Clackmannanshire",2014,25.7
"Glasgow City",2014,16.5
"Highland",2014,23.4
"Midlothian",2014,19.9
"Stirling",2014,20.3
"North Ayrshire",2014,22.5
"Fife",2014,23.9
"North Lanarkshire",2014,18.5
"East Ayrshire",2014,25.8
"City of Edinburgh",2014,13.5
"Renfrewshire",2014,21.4
"Renfrewshire",2014,21.4
"East Dunbartonshire",2014,20.6
"East Dunbartonshire",2014,20.6
"Falkirk",2014,19.2
"Aberdeen City",2014,17.1
"Dundee City",2014,15
"Dundee City",2014,15
NA,2014,19.3
"Perth and Kinross",2014,26.9
"Moray",2014,22.5
"Scottish Borders",2014,21.7
"West Dunbartonshire",2014,17.2
"West Dunbartonshire",2014,17.2
"Angus",2014,32.8
"Angus",2014,32.8
"East Renfrewshire",2014,30.3
"East Renfrewshire",2014,30.3
"Aberdeenshire",2014,21
"South Lanarkshire",2014,17.8
"South Lanarkshire",2014,17.8
"Inverclyde",2014,21.7
"Inverclyde",2014,21.7
"South Ayrshire",2014,24.3
"East Lothian",2014,20.8
"Argyll and Bute",2014,22.6
"Dumfries and Galloway",2014,28.6
"West Lothian",2014,19.9
"Moray",2013,22.7
"Fife",2013,21.2
"Argyll and Bute",2013,22.2
NA,2013,18.6
"City of Edinburgh",2013,12.5
"Stirling",2013,17.3
"East Lothian",2013,18.4
"Highland",2013,21.3
"East Renfrewshire",2013,28.8
"East Renfrewshire",2013,28.8
"Falkirk",2013,20.9
"Perth and Kinross",2013,24.1
"Angus",2013,26
"Angus",2013,26
"South Lanarkshire",2013,17.6
"South Lanarkshire",2013,17.6
"Clackmannanshire",2013,25.2
"South Ayrshire",2013,21.5
"Aberdeen City",2013,16.2
"Inverclyde",2013,23.3
"Inverclyde",2013,23.3
"Dundee City",2013,15.7
"Dundee City",2013,15.7
"East Ayrshire",2013,22.7
"Midlothian",2013,17.8
"Dumfries and Galloway",2013,28.7
"Glasgow City",2013,16.8
"Scottish Borders",2013,21.2
"West Lothian",2013,21.3
"North Lanarkshire",2013,18
"East Dunbartonshire",2013,21
"East Dunbartonshire",2013,21
"North Ayrshire",2013,25.2
"Aberdeenshire",2013,21
"Renfrewshire",2013,19.5
"Renfrewshire",2013,19.5
"West Dunbartonshire",2013,19.3
"West Dunbartonshire",2013,19.3
"Aberdeen City",2012,15
"Scottish Borders",2012,25.8
"Argyll and Bute",2012,20.3
"Angus",2012,23.3
"Angus",2012,23.3
"Glasgow City",2012,16.8
"City of Edinburgh",2012,13.6
"East Ayrshire",2012,20.4
"Inverclyde",2012,23.7
"Inverclyde",2012,23.7
"Clackmannanshire",2012,27.8
"East Dunbartonshire",2012,20.6
"East Dunbartonshire",2012,20.6
"Perth and Kinross",2012,24.9
"East Renfrewshire",2012,25.6
"East Renfrewshire",2012,25.6
"South Lanarkshire",2012,17.1
"South Lanarkshire",2012,17.1
"Stirling",2012,15.9
"Fife",2012,21.8
"Aberdeenshire",2012,22.7
"South Ayrshire",2012,23.4
"Falkirk",2012,17.7
"Dumfries and Galloway",2012,34.3
"East Lothian",2012,22.4
"Highland",2012,21.2
"West Lothian",2012,19.9
"North Lanarkshire",2012,18.5
"Dundee City",2012,16.8
"Dundee City",2012,16.8
NA,2012,18.8
"North Ayrshire",2012,20.1
"Renfrewshire",2012,18.1
"Renfrewshire",2012,18.1
"West Dunbartonshire",2012,17.7
"West Dunbartonshire",2012,17.7
"Midlothian",2012,17.5
"Moray",2012,22.8
