NAME,Year,wplearning
East Ayrshire,2014,20.8
East Ayrshire,2014,20.8
East Ayrshire,2015,21.4
East Ayrshire,2015,21.4
East Ayrshire,2016,16.6
East Ayrshire,2016,16.6
East Ayrshire,2017,15.9
East Ayrshire,2017,15.9
East Ayrshire,2018,18.1
East Ayrshire,2018,18.1
East Dunbartonshire,2004,28.6
East Dunbartonshire,2004,28.6
East Dunbartonshire,2005,27
East Dunbartonshire,2005,27
East Dunbartonshire,2006,26.6
East Dunbartonshire,2006,26.6
East Dunbartonshire,2007,23.4
East Dunbartonshire,2007,23.4
East Dunbartonshire,2008,26.4
East Dunbartonshire,2008,26.4
East Dunbartonshire,2009,23.9
East Dunbartonshire,2009,23.9
East Dunbartonshire,2010,20.1
East Dunbartonshire,2010,20.1
East Dunbartonshire,2011,20.4
East Dunbartonshire,2011,20.4
East Dunbartonshire,2012,22.1
East Dunbartonshire,2012,22.1
East Dunbartonshire,2013,20.9
East Dunbartonshire,2013,20.9
East Dunbartonshire,2014,19.9
East Dunbartonshire,2014,19.9
East Dunbartonshire,2015,19.6
East Dunbartonshire,2015,19.6
East Dunbartonshire,2016,20
East Dunbartonshire,2016,20
East Dunbartonshire,2017,21.2
East Dunbartonshire,2017,21.2
East Dunbartonshire,2018,15.1
East Dunbartonshire,2018,15.1
East Lothian,2004,25.9
East Lothian,2004,25.9
East Lothian,2005,26.2
East Lothian,2005,26.2
East Lothian,2006,24
East Lothian,2006,24
East Lothian,2007,18
East Lothian,2007,18
East Lothian,2008,19.8
East Lothian,2008,19.8
East Lothian,2009,22.5
East Lothian,2009,22.5
East Lothian,2010,19.6
East Lothian,2010,19.6
East Lothian,2011,21.8
East Lothian,2011,21.8
East Lothian,2012,19.8
East Lothian,2012,19.8
East Lothian,2013,19
East Lothian,2013,19
East Lothian,2014,16
East Lothian,2014,16
East Lothian,2015,14.8
East Lothian,2015,14.8
East Lothian,2016,14.5
East Lothian,2016,14.5
East Lothian,2017,18.7
East Lothian,2017,18.7
East Lothian,2018,21.2
East Lothian,2018,21.2
East Renfrewshire,2004,27.3
East Renfrewshire,2004,27.3
East Renfrewshire,2005,26.9
East Renfrewshire,2005,26.9
East Renfrewshire,2006,26
East Renfrewshire,2006,26
East Renfrewshire,2007,22.8
East Renfrewshire,2007,22.8
East Renfrewshire,2008,25.7
East Renfrewshire,2008,25.7
East Renfrewshire,2009,21.9
East Renfrewshire,2009,21.9
East Renfrewshire,2010,21.2
East Renfrewshire,2010,21.2
East Renfrewshire,2011,20.7
East Renfrewshire,2011,20.7
East Renfrewshire,2012,22.3
East Renfrewshire,2012,22.3
East Renfrewshire,2013,24.8
East Renfrewshire,2013,24.8
East Renfrewshire,2014,21.3
East Renfrewshire,2014,21.3
East Renfrewshire,2015,20
East Renfrewshire,2015,20
East Renfrewshire,2016,18.2
East Renfrewshire,2016,18.2
East Renfrewshire,2017,17
East Renfrewshire,2017,17
East Renfrewshire,2018,17.7
East Renfrewshire,2018,17.7
Falkirk,2004,23.3
Falkirk,2004,23.3
Falkirk,2005,25.2
Falkirk,2005,25.2
Falkirk,2006,24
Falkirk,2006,24
Falkirk,2007,20.7
Falkirk,2007,20.7
Falkirk,2008,17.3
Falkirk,2008,17.3
Falkirk,2009,18.6
Falkirk,2009,18.6
Falkirk,2010,17.1
Falkirk,2010,17.1
Falkirk,2011,15.1
Falkirk,2011,15.1
Falkirk,2012,16.3
Falkirk,2012,16.3
Falkirk,2013,24.5
Falkirk,2013,24.5
Falkirk,2014,26.7
Falkirk,2014,26.7
Falkirk,2015,21.3
Falkirk,2015,21.3
Falkirk,2016,15.7
Falkirk,2016,15.7
Falkirk,2017,16.1
Falkirk,2017,16.1
Falkirk,2018,15.5
Falkirk,2018,15.5
Fife,2004,24.9
Fife,2004,24.9
Fife,2005,23
Fife,2005,23
Fife,2006,23
Fife,2006,23
Fife,2007,20
Fife,2007,20
Fife,2008,23.3
Fife,2008,23.3
Fife,2009,25.2
Fife,2009,25.2
Fife,2010,26.8
Fife,2010,26.8
Fife,2011,25
Fife,2011,25
Fife,2012,22.6
Fife,2012,22.6
Fife,2013,22.5
Fife,2013,22.5
Fife,2014,21.6
Fife,2014,21.6
Fife,2015,18.6
Fife,2015,18.6
Fife,2016,20.2
Fife,2016,20.2
Fife,2017,18.2
Fife,2017,18.2
Fife,2018,16.7
Fife,2018,16.7
Glasgow City,2004,20.7
Glasgow City,2004,20.7
Glasgow City,2005,18.9
Glasgow City,2005,18.9
Glasgow City,2006,20
Glasgow City,2006,20
Glasgow City,2007,18.4
Glasgow City,2007,18.4
Glasgow City,2008,19.5
