"NAME","Year","Value"
"Perth and Kinross","2016",7
"Renfrewshire","2016",5.3
"Scottish Borders","2016",6.9
"Shetland Islands","2016",22.2
"South Ayrshire","2016",4.9
"South Lanarkshire","2016",5.4
"Stirling","2016",7.1
"West Dunbartonshire","2016",4.4
"West Lothian","2016",6.1
"Scotland","2016",6.1
"Aberdeen City","2017",5.3
"Aberdeenshire","2017",7
"Angus","2017",6.2
"Argyll and Bute","2017",3.2
"City of Edinburgh","2017",4.4
"Clackmannanshire","2017",10.2
"Dumfries and Galloway","2017",6.6
"Dundee City","2017",4.3
"East Ayrshire","2017",4.3
"East Dunbartonshire","2017",3.9
"East Lothian","2017",11.2
"East Renfrewshire","2017",4.3
"Falkirk","2017",15
"Fife","2017",7.7
"Glasgow City","2017",4.1
"Highland","2017",3.2
"Inverclyde","2017",4.1
"Midlothian","2017",4.8
"Moray","2017",6.4
"Na h-Eileanan Siar","2017",21.6
"North Ayrshire","2017",6.4
"North Lanarkshire","2017",5.3
"Orkney Islands","2017",12.8
"Perth and Kinross","2017",6.9
"Renfrewshire","2017",5.1
"Scottish Borders","2017",6.6
"Shetland Islands","2017",22
"South Ayrshire","2017",4.6
"South Lanarkshire","2017",5.3
"Stirling","2017",6.6
"West Dunbartonshire","2017",4.1
"West Lothian","2017",5.8
"Scotland","2017",5.9
"Aberdeen City","2018",5.2
"Aberdeenshire","2018",6.8
"Angus","2018",6.2
"Argyll and Bute","2018",3.5
"City of Edinburgh","2018",4.3
"Clackmannanshire","2018",10.3
"Dumfries and Galloway","2018",6.6
"Dundee City","2018",4.2
"East Ayrshire","2018",4.3
"East Dunbartonshire","2018",3.9
"East Lothian","2018",10.9
"East Renfrewshire","2018",4.2
"Falkirk","2018",15.1
"Fife","2018",7.5
"Glasgow City","2018",4
"Highland","2018",5.1
"Inverclyde","2018",4
"Midlothian","2018",4.7
"Moray","2018",6.6
"Na h-Eileanan Siar","2018",21.5
"North Ayrshire","2018",6.4
"North Lanarkshire","2018",5.5
"Orkney Islands","2018",12.7
"Perth and Kinross","2018",6.7
"Renfrewshire","2018",5
"Scottish Borders","2018",6.5
"Shetland Islands","2018",21.8
"South Ayrshire","2018",4.3
"South Lanarkshire","2018",5.2
"Stirling","2018",6.5
"West Dunbartonshire","2018",4
"West Lothian","2018",5.7
"Scotland","2018",5.9
"Aberdeen City","2019",5.1
"Aberdeenshire","2019",6.5
"Angus","2019",5.8
"Argyll and Bute","2019",3.1
"City of Edinburgh","2019",4
"Clackmannanshire","2019",10.1
"Dumfries and Galloway","2019",6.3
"Dundee City","2019",3.9
"East Ayrshire","2019",4.1
"East Dunbartonshire","2019",3.7
"East Lothian","2019",10.5
"East Renfrewshire","2019",4.1
"Falkirk","2019",14
"Fife","2019",6.8
"Glasgow City","2019",3.8
"Highland","2019",5.8
"Inverclyde","2019",3.8
"Midlothian","2019",4.5
"Moray","2019",6.5
"Na h-Eileanan Siar","2019",21.3
"North Ayrshire","2019",6.2
"North Lanarkshire","2019",5.3
"Orkney Islands","2019",12.4
"Perth and Kinross","2019",6.3
"Renfrewshire","2019",4.8
"Scottish Borders","2019",6.1
"Shetland Islands","2019",21.6
"South Ayrshire","2019",4.2
"South Lanarkshire","2019",5.1
"Stirling","2019",6.6
"West Dunbartonshire","2019",5
"West Lothian","2019",5.8
"Scotland","2019",5.7
