Year,Sector,Value
2017,"Food Products, Beverages and Tobacco Products (Section CA)",9560
2018,"Food Products, Beverages and Tobacco Products (Section CA)",9985
2019,"Food Products, Beverages and Tobacco Products (Section CA)",10030
2002,"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",880
2003,"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",800
2004,"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",805
2005,"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",870
2006,"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",895
2007,"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",940
2008,"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",1035
2009,"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",1175
2010,"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",1130
2011,"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",1215
2012,"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",1370
2013,"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",1385
2014,"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",1515
2015,"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",1790
2016,"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",1685
2017,"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",1280
2018,"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",1485
2019,"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",1595
2002,Information and Communication (Section J),1385
2003,Information and Communication (Section J),1335
2004,Information and Communication (Section J),1775
2005,Information and Communication (Section J),1770
2006,Information and Communication (Section J),1930
2007,Information and Communication (Section J),1735
2008,Information and Communication (Section J),1850
2009,Information and Communication (Section J),1795
2010,Information and Communication (Section J),1830
2011,Information and Communication (Section J),1805
2012,Information and Communication (Section J),1985
2013,Information and Communication (Section J),2245
2014,Information and Communication (Section J),2475
2015,Information and Communication (Section J),2800
2016,Information and Communication (Section J),2835
2017,Information and Communication (Section J),3950
2018,Information and Communication (Section J),3810
2019,Information and Communication (Section J),4635
2002,Machinery and Equipment N.E.C. (Section CK),1145
2003,Machinery and Equipment N.E.C. (Section CK),1280
2004,Machinery and Equipment N.E.C. (Section CK),1145
2005,Machinery and Equipment N.E.C. (Section CK),1185
2006,Machinery and Equipment N.E.C. (Section CK),1155
2007,Machinery and Equipment N.E.C. (Section CK),1320
2008,Machinery and Equipment N.E.C. (Section CK),1500
2009,Machinery and Equipment N.E.C. (Section CK),1490
2010,Machinery and Equipment N.E.C. (Section CK),1480
2011,Machinery and Equipment N.E.C. (Section CK),1435
2012,Machinery and Equipment N.E.C. (Section CK),1675
2013,Machinery and Equipment N.E.C. (Section CK),1840
2014,Machinery and Equipment N.E.C. (Section CK),1925
2015,Machinery and Equipment N.E.C. (Section CK),1880
2016,Machinery and Equipment N.E.C. (Section CK),1825
2017,Machinery and Equipment N.E.C. (Section CK),1585
2018,Machinery and Equipment N.E.C. (Section CK),1750
2019,Machinery and Equipment N.E.C. (Section CK),1820
2002,Mining & Quarrying (Section B),1350
2003,Mining & Quarrying (Section B),1185
2004,Mining & Quarrying (Section B),1305
2005,Mining & Quarrying (Section B),1485
2006,Mining & Quarrying (Section B),1475
2007,Mining & Quarrying (Section B),1900
2008,Mining & Quarrying (Section B),2055
2009,Mining & Quarrying (Section B),2810
2010,Mining & Quarrying (Section B),4180
2011,Mining & Quarrying (Section B),4445
2012,Mining & Quarrying (Section B),4305
2013,Mining & Quarrying (Section B),4205
2014,Mining & Quarrying (Section B),4825
2015,Mining & Quarrying (Section B),5195
2016,Mining & Quarrying (Section B),4430
2017,Mining & Quarrying (Section B),3905
2018,Mining & Quarrying (Section B),3700
2019,Mining & Quarrying (Section B),3675
2002,Other Services (Section (Q-U),290
2003,Other Services (Section (Q-U),380
2004,Other Services (Section (Q-U),360
2005,Other Services (Section (Q-U),330
2006,Other Services (Section (Q-U),300
2007,Other Services (Section (Q-U),375
2008,Other Services (Section (Q-U),325
2009,Other Services (Section (Q-U),365
2010,Other Services (Section (Q-U),200
2011,Other Services (Section (Q-U),195
2012,Other Services (Section (Q-U),355
2013,Other Services (Section (Q-U),335
2014,Other Services (Section (Q-U),280
2015,Other Services (Section (Q-U),235
2016,Other Services (Section (Q-U),340
2017,Other Services (Section (Q-U),445
2018,Other Services (Section (Q-U),585
2019,Other Services (Section (Q-U),660
2002,"Professional, Scientific & Technical (Section M)",2835
2003,"Professional, Scientific & Technical (Section M)",2420
2004,"Professional, Scientific & Technical (Section M)",2520
2005,"Professional, Scientific & Technical (Section M)",2725
2006,"Professional, Scientific & Technical (Section M)",2905
2007,"Professional, Scientific & Technical (Section M)",3680
2008,"Professional, Scientific & Technical (Section M)",4005
2009,"Professional, Scientific & Technical (Section M)",4580
2010,"Professional, Scientific & Technical (Section M)",5490
2011,"Professional, Scientific & Technical (Section M)",5915
